,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
7810,Hungry Harry's,Hungry Harry's,3116 Land O' Lakes Blvd.,Land O Lakes,FL,34639.0,hungry harrys,34639,3116,1.0,-82.4632296072,28.2032620994,3116.0
7811,53rd Avenue Internal Medicine,"53rd Ave. East Medical Center, P.A.",712 53rd Ave. East,Bradenton,FL,34203.0,53rd avenue internal medicine,34203,712,21.0,-82.5628109547,27.4476167633,106.0
7812,"Select Medical Products, Inc.","Contract Sewing Services, Inc.",6531 47th St. N,Pinellas Park,FL,33781.0,select medical products inc,33781,6531,0.0,-82.6978117751,27.8311579455,6531.0
7813,Clock Restaurant,"The Clock Restaurant, Inc.",301 Tamiami Trail S,Venice,FL,34285.0,clock restaurant,34285,301,2.0,-82.4442121507,27.0961074233,301.0
7814,Gator Tile & Marble,"Gator Tile & Marble, Inc",1180 Lake Alfred Rd.,Auburndale,FL,33823.0,gator tile & marble,33823,1180,8.0,-81.774572261,28.0791849689,2000.0
7815,New York Style China Buffet,"C.B. China Buffet, Inc",1245 E Fowler Ave.,Tampa,FL,33612.0,new york style china buffet,33612,1245,0.0,-82.4460775314,28.054424163,1245.0
7816,"Aldoors of Florida, Inc","Carolina Door Controls, Inc.",333 Falkenburg Rd.,Tampa,FL,33619.0,aldoors of florida inc,33619,333,8.0,-82.3350176163,27.9712418496,333.0
7817,"White Eagle Lodge, Inc.","White Eagle Lodge, Inc.",97 N Bayshore Drive,Eastpoint,FL,32328.0,white eagle lodge inc,32328,97,23.0,-84.8711873054,29.6625351859,415.0
7818,Peacock Farms,Peacock Farms,4310 Pippin Road,Plant City,FL,33567.0,peacock farms,33567,4310,0.0,-82.1292910697,27.9565399205,4310.0
7819,Hurry Cab Company,Hurri of Jax LLC,4839 University Blvd.,Jacksonville,FL,32216.0,hurry cab company,32216,4839,2.0,-81.6190563307,30.2658940436,4839.0
7820,CHRISTIAN HOME ALF,"HEAVENLY HOME CARE ALF, INC.",34 W 14 St,Hialeah,FL,33010.0,christian home alf,33010,34,20.0,-80.2824662673,25.8343611431,34.0
7821,CHUCK WAGON SOUTH,"CHUCK WAGON SOUTH, INC.",10 S. Homestead Blvd,Homestead,FL,33030.0,chuck wagon south,33030,10,0.0,-80.4748866322,25.4642174642,10.0
7822,Waves Surf Shop,"Gadan, Inc.",1712 North 3rd Street,Jacksonville Beach,FL,32250.0,waves surf shop,32250,1712,4.0,-81.3950503484,30.3040264532,1712.0
