,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum
1059,Plantation Housing Corporation,Plantation Housing Corporation,2425 Sadler Road,Fernandina Beach,FL,32034.0,plantation housing corporation,32034,2425
1093,Jani King #333,Andres & Olga Bermudez,8374 Market St.,Bradenton,FL,34203.0,jani king #333,34203,8374
1130,Mighty Mushroom Pizzeria & Grill,"Might Mushroom, Inc.",2400 Dairy Road,Melbourne,FL,32904.0,mighty mushroom pizzeria & grill,32904,2400
1137,"CRJ Management Services, Inc.","CRJ Management Services, Inc.",12 Miracle Stripe Hwy Ste 203,Fort Walton Beach,FL,32548.0,crj management services inc,32548,12
1141,Mi Peru Restaurant,Mi Peru Trading Company,1760 NE Miami Gardens Drive,Miami,FL,33179.0,mi peru restaurant,33179,1760
1186,William King,WIlliam King,785 Phillips Way,Haines City,FL,33844.0,william king,33844,785
1199,"Nova Surveyor, Inc.","Nova Surveyor, Inc.","5582 N.W. 7 Street, Suite 202",Miami,FL,33126.0,nova surveyor inc,33126,5582
1207,Papa John's Pizza,"L-N-W Pizza, Inc",10344 W. Sample Rd,Coral Springs,FL,33065.0,papa johns pizza,33065,10344
1220,"Berry Patches, Inc.","Berry Patches, Inc.",5807 Downing St.,Dover,FL,33527.0,berry patches inc,33527,5807
1227,Sandbar Grill,"Etyet, Inc.",2602 Bayshore Blvd,Dunedin,FL,34698.0,sandbar grill,34698,2602
1228,Meerkat Underground Cable System,Meerkat Underground Cable System,2225 E. 1031 FP Ave,Tampa,FL,33612.0,meerkat underground cable system,33612,2225
1229,Dr. Lorena Lavarne,"Dr. Lorena Lavarne & Associates, P.A.",1872 South Tamiami Trail; Suite E,Venice,FL,34293.0,dr lorena lavarne,34293,1872
1230,Florida Chemical,Florida Chemical,6810 E. Chelsea St.,Tampa,FL,33610.0,florida chemical,33610,6810
1238,Ancient City Veterinary Hospital,"Fred Springer DVM, P.A.",1967 Old Moultrie Road,Saint Augustine,FL,32086.0,ancient city veterinary hospital,32086,1967
1282,BJS Wholesale Club,"BJ'S WHOLESALE CLUB, INC.",7007 SW 117th Ave,Miami,FL,33183.0,bjs wholesale club,33183,7007
1340,Scenic Hills Country Club,The Fairways Group L.P.,8891 Burning Tree Rd.,Pensacola,FL,32514.0,scenic hills country club,32514,8891
1341,Perdido Bay Golf Club,"Perdido Bay Golf, LLC",1 Doug Ford Drive,Pensacola,FL,32507.0,perdido bay golf club,32507,1
1346,Pretzel Time,"JCT Future, LLC",8021 Citrus Town Center Mall,Tampa,FL,33625.0,pretzel time,33625,8021
1352,Hi Tech Pool and Solar,Hi-Tech Pool & Solar LLC,2208 Summersweet Drive,Alva,FL,33920.0,hi tech pool and solar,33920,2208
1360,PRICE CHOICE,JYMD FOOD CORP,4500 NW 183rd ST,Miami,FL,33055.0,price choice,33055,4500
1362,Westport Properties/US Storage Center,,2771 W. 76 St,Hialeah,FL,33016.0,westport properties/us storage center,33016,2771
1365,Perricone's Marketplace Restaurant,"La Cucina Management, Inc.",15 SE 10th Street,Miami,FL,33131.0,perricones marketplace restaurant,33131,15
1366,KITCHEN TM SYSTEM,TM SYSTEMS LLC,"1550 Biscayne Blvd, 3rd Floor",Miami,FL,33132.0,kitchen tm system,33132,1550
1368,True Treasures,"True Treasures, Inc.","1201 U.S. Hwy One, Suite #15",Palm Beach Gardens,FL,33408.0,true treasures,33408,1201
1385,Don Pan,"Don Pan Kendall 137, Inc.",13758 SW 88th Street,Miami,FL,33186.0,don pan,33186,13758
1400,Olvera Trucking (FLC),Olvera Trucking Corp.,P.O. Box 2569,Immokalee,FL,34143.0,olvera trucking (flc),34143,2569
1401,Margaret Mondragon FLC,Margaret A Mondragon,1125 Ave A West,Winter Haven,FL,33880.0,margaret mondragon flc,33880,1125
1441,Outback Crab Shack At Six Mile,Six Mile Marina and Outback Crab Shack Inc,8155 County Road 13 N,Saint Augustine,FL,32092.0,outback crab shack at six mile,32092,8155
1442,"Design Center at The Avenues, LLC","Design Center at The Avenues, LLC","8999 Western Way, Suite 108",Jacksonville,FL,32256.0,design center at the avenues llc,32256,8999
1462,Bright Glow Candle Corp,Bright Glow Candle Corp,3645 NW 74th St,Miami,FL,33147.0,bright glow candle corp,33147,3645
1541,Armstrong Elevator Company,Armstrong Elevator Company,9225 Ulmerton Road,Largo,FL,33771.0,armstrong elevator company,33771,9225
1543,"Sorel Rinvil, FLC","Sorel Rinvil, FLC",PO Box 2676,Belle Glade,FL,33430.0,sorel rinvil flc,33430,2676
1553,Lopez Drywall Inc.,"Lopez Drywall Finishing, Inc.",1250 Park Lane,North Fort Myers,FL,33903.0,lopez drywall inc,33903,1250
1555,Piminco Inc dba Meng Li's Asia Pacific Grille,"Piminco, Inc.",2601-41 South Military Trail,West Palm Beach,FL,33415.0,piminco inc dba meng lis asia pacific grille,33415,2601-41
1585,City of Clearwater,City of Clearwater,PO Box 4748,Clearwater,FL,33758.0,city of clearwater,33758,4748
1601,"Almanza, Pedro FLC","Almanza, Pedro",12865 89th St.,Fellsmere,FL,32948.0,almanza pedro flc,32948,12865
1615,"Barajas Torres, Ramiro - FLC","Barajas Torres Harvesting, Inc.",175 Lake Pearl Drive,Lake Placid,FL,33852.0,barajas torres ramiro - flc,33852,175
1646,"Elite Modeling Management, Inc.","Elite Modeling Management, Inc.","119 Washington Avenue, Suite 501",Miami Beach,FL,33139.0,elite modeling management inc,33139,119
1651,The Knife Restaurant (Hallandale),Carma LLC,602 E. Hallandale Beach Blvd,Hallandale,FL,33009.0,the knife restaurant (hallandale),33009,602
1663,Florida State Metal Building Systems,"Florida State Metal Building Erectors, Inc.",9270 Bay Plaza Blvd. #608A,Tampa,FL,33619.0,florida state metal building systems,33619,9270
1671,Gold's gym,"Grades Enterprises, Inc.",499 NE Spanish River Blvd,Boca Raton,FL,33431.0,golds gym,33431,499
1673,Hammer Construction,Hammer Construction Corp,2990 NW 40 St,Miami,FL,33142.0,hammer construction,33142,2990
1680,"Pensacola Wireless, Inc","Wilson Enterprises Corporation, Inc",116 Julia Way,Gulf Breeze,FL,32561.0,pensacola wireless inc,32561,116
1718,"D&K Harvesting, Inc.","D&K Harvesting, Inc.",890 Spratt Blvd,Labelle,FL,33935.0,d&k harvesting inc,33935,890
1721,"Palafox, Roselio, FLC (Hotel)","Palafox, Roselio",6625 SW Miami Ave,Arcadia,FL,34266.0,palafox roselio flc (hotel),34266,6625
1737,The Main Street Bistro,"Global Attitude, LLC",1152 Main St.,Lady Lake,FL,32159.0,the main street bistro,32159,1152
1741,Frenchman's Reserve Country Club,"Frenchman's Reserve Country Club, Inc.",3370 Grande Corniche,Palm Beach Gardens,FL,33410.0,frenchmans reserve country club,33410,3370
1750,Welcome Home Design Center,"Welcome Home Design, Inc.",850 N. Apollo Blvd.,Melbourne,FL,32935.0,welcome home design center,32935,850
1755,"Rapid Oil Change, Inc.","Rapid Oil Change, Inc.",14200 West Dixie Highway,North Miami,FL,33161.0,rapid oil change inc,33161,14200
1773,Stacked Burgers,Stacked I LLC,1617 W. Platt Street,Tampa,FL,33606.0,stacked burgers,33606,1617
1777,"Palmdale Locktending, Inc.","Palmdale Oil Company, Inc.",120 S. Parrot Ave,Okeechobee,FL,34974.0,palmdale locktending inc,34974,120
1799,Taps & Tequila,"North Carolina LPV, LLC",1235 Central Ave,Saint Petersburg,FL,33705.0,taps & tequila,33705,1235
1800,Terry's Supply Company,Terry's Supply Company,6211 17th Street E,Bradenton,FL,34203.0,terrys supply company,34203,6211
1804,"L&L, LLC",L&L YACHT REFINISHING LLC,2548 NW 79 AVE,Pompano Beach,FL,33063.0,l&l llc,33063,2548
1807,"PlaneTechs - Lake City, FL","PlaneTechs, LLC",102 SE Academic Avenue,Lake City,FL,32025.0,planetechs - lake city fl,32025,102
1812,Solid Ground Concrete Pumping,"Solid Ground Concrete Pumping, Inc.","1073 Willa Springs Road, Ste. 1009",Winter Springs,FL,32708.0,solid ground concrete pumping,32708,1073
1834,Benedetto's,"Benedetto's Italia, Inc.",21529 Village Lakes Shopping Ctr. Drive,Lutz,FL,33549.0,benedettos,33549,21529
1898,The Knife Restaurant (Bayside),Carma Cinco LLC,401 Biscayne Blvd,Miami,FL,33132.0,the knife restaurant (bayside),33132,401
1902,Keiser College,The Keiser School Inc.,1500 W. Commercial Blvd,Fort Lauderdale,FL,33309.0,keiser college,33309,1500
1903,Shoreside Travel / Nekton Diving / John Dixon,Nekton Diving / Stars Travel / Loggerhead,520 SE 32 St,Fort Lauderdale,FL,33316.0,shoreside travel / nekton diving / john dixon,33316,520
1946,Beach Hotel Inc,"Beach Hotel, Inc.",8601 Harding Ave,Miami Beach,FL,33154.0,beach hotel inc,33154,8601
1952,"Diversified Maintenance Systems, Inc","Diversified Maintenance Systems, Inc",5110 Eisenhower Blvd,Tampa,FL,33634.0,diversified maintenance systems inc,33634,5110
1954,"Alan's Roofing, Inc","Alan's Roofing & Aluminum Construction, Inc",14498 Ponce De Leon Blvd,Brooksville,FL,34601.0,alans roofing inc,34601,14498
1961,Family Ties Child Development Center,"Family Ties Child Development Center, Inc.",801 Beverly Parkway,Pensacola,FL,32505.0,family ties child development center,32505,801
1965,Hosteria Romana,"HOSTERIA ROMANA, INC.",429 Espaola Way,Miami Beach,FL,33139.0,hosteria romana,33139,429
1966,Atlacatl Restaurant - 17th Ave.,Atlacatl Restaurant Corporation,466 SW 17th Ave,Miami,FL,33135.0,atlacatl restaurant - 17th ave,33135,466
1991,"Martinez, Pascual",Pascual Martinez,1428 Greenridge Dr,Apopka,FL,32703.0,martinez pascual,32703,1428
2032,"Lilly Riley, FLC","Riley Harvesting, Inc.",1996 Mud Hill Road,Chipley,FL,32428.0,lilly riley flc,32428,1996
2050,"JCG Technologies, Inc","JCG Technologies, Inc",50 S. Belcher Rd,Clearwater,FL,33765.0,jcg technologies inc,33765,50
2057,Rigoberto Meza,Rigoberto Meza Quintero,701 New Market Road,Immokalee,FL,34142.0,rigoberto meza,34142,701
2081,Phil Smith Chevrolet,Phil Smith Chevrolet,1640 N. State Road 7,Fort Lauderdale,FL,33313.0,phil smith chevrolet,33313,1640
2100,Anderson Road Cafe,"Two Guys Cooking, Inc",6002 Anderson Road,Tampa,FL,33624.0,anderson road cafe,33624,6002
2106,"Ramos Harvesting, Inc - FLC",Roberto Ramos,P.O. Box 3036,Lake Placid,FL,33862.0,ramos harvesting inc - flc,33862,3036
2151,Holy Hog Barbecue,"Holy Hog Barbecue, Inc.",3501 N. Armenia Avenue,Tampa,FL,33607.0,holy hog barbecue,33607,3501
2153,"Tapas Fusion,","Tapas Fusion, LLC",210 E. Ocean Avenue,Lake Worth,FL,33462.0,tapas fusion,33462,210
2183,Pronto Mowers,Simple Strategies Inc.,8208 205th Place South,Boca Raton,FL,33434.0,pronto mowers,33434,8208
2184,RTS Waste Service,RTS Waste Service,7401 Wiles Rd,Coral Springs,FL,33065.0,rts waste service,33065,7401
2205,Symtech Corporation,Symtech Corporation,3422 Magic Oak Lane,Sarasota,FL,34232.0,symtech corporation,34232,3422
2219,Fusion Industries,"Fusion Industries, LLC",16710 Gator Rd.,Fort Myers,FL,33912.0,fusion industries,33912,16710
