Month,Usage,logUsage,coal,gas,petrol,elec,INDPRO,DlINDPRO
2012-06-01,83619.0094,11.334026158392168,2.3477,3.1432,22.2432,6.89,100.0318,0.00027595033069172104
2012-07-01,87219.18043,11.376179544769256,2.3891,3.4638,20.7045,7.13,100.3132,0.0028091560563261453
2012-08-01,88104.63252999999,11.386280393175223,2.3866,3.5271,21.3205,7.08,99.8389,-0.0047394045609161495
2012-09-01,82059.90032999999,11.315204751396365,2.3648,3.4612,,6.97,99.9599,0.001211218633873301
2012-10-01,82995.68967,11.326543953743492,2.3478,3.9147,22.4241,6.62,100.2146,0.0025447810530430104
2012-11-01,78847.34019,11.27526885929211,2.3481,4.3339,22.5432,6.5,100.7651,0.005478178907904585
2012-12-01,78359.60426000001,11.269063821764968,2.3529,4.2619,20.8665,6.52,101.0382,0.0027065976296718475
2013-01-01,80505.47227,11.296080439605538,2.3308,4.4585,21.0857,6.5,100.9614,-0.000760397581980321
2013-02-01,76692.04883,11.247553316140735,2.3321,4.4877,21.076999999999998,6.66,101.4781,0.005104746080011324
2013-03-01,80474.38927,11.295694267073285,2.3402,4.4004,20.1996,6.64,101.6302,0.001497723415854857
2013-04-01,80216.47132000001,11.292484150822283,2.3628,4.7296,,6.58,101.5825,-0.0004694588564211344
2013-05-01,84896.9274,11.349193180831815,2.3594,4.6638,20.7806,6.75,101.6016,0.00018800683770336946
2013-06-01,84169.85682999999,11.340592141241837,2.3479,4.4477,21.0651,7.25,101.8221,0.00216788984132954
2013-07-01,86886.90809,11.372362645013217,2.3017,4.2277,20.5682,7.45,101.2443,-0.005690764787551927
2013-08-01,87806.36831,11.382889308997445,2.3153,3.9331,19.7139,7.37,101.9928,0.007365814451853581
2013-09-01,83024.99127,11.32689694109589,2.3337,4.1144,20.1791,7.22,102.4847,0.004811296586649583
2013-10-01,82979.76639,11.326352078626208,2.3280000000000003,4.1564,20.8762,6.87,102.4287,-0.0005465723705144754
2013-11-01,79631.57395,11.285165950847937,2.3166,4.2568,20.1059,6.65,102.7732,0.0033576718700611963
2013-12-01,78067.10006,11.265323993042081,2.3265,4.985,21.0045,6.66,102.9513,0.00173144223943833
2014-01-01,80148.84693,11.291640771533714,2.2836,7.2759,21.8968,6.98,102.4621,-0.004763086778884151
2014-02-01,75413.26442,11.230738459213473,2.3123,7.6007,21.618000000000002,7.12,103.2919,0.008065986555826576
2014-03-01,80539.0692,11.296497677348347,2.3529,6.1315,21.9548,6.99,104.0896,0.0076931060315850175
2014-04-01,80505.32655,11.29607862954061,2.3737,5.1153,21.7709,6.77,104.2409,0.001452500009365032
2014-05-01,85382.98728,11.354902147753293,2.3861,4.9512,21.243000000000002,6.83,104.6541,0.003956059636617049
2014-06-01,85711.09599999999,11.358737571117203,2.3747,4.8542,21.4803,7.39,105.1223,0.0044638079157568455
2014-07-01,88417.10031000001,11.389820672338978,2.3648,4.4427,21.3669,7.62,105.2073,0.0008082552776915719
2014-08-01,89808.40816,11.405433881978352,2.3547,4.1293,,7.51,105.1989,-7.98455559243294e-05
2014-09-01,85489.15774,11.356144836825298,2.3617,4.2104,19.7012,7.37,105.575,0.0035687568448290463
2014-10-01,84994.16687,11.350337908058822,2.2979,4.1043,18.5187,7.07,105.6441,0.0006542969122129705
2014-11-01,81044.19637,11.302749919047894,2.2939,4.5416,16.5198,6.75,106.6868,0.00982154158240256
2014-12-01,80122.51809,11.291312218267402,2.4995,4.3585,13.8697,6.7,106.5182,-0.0015815767467408648
2015-01-01,77242.1883,11.254701067316688,2.2803,4.1599,12.7449,6.64,105.9906,-0.004965451633334617
2015-02-01,74512.17341,11.218717792495594,2.253,4.8382,12.5085,6.91,105.8576,-0.0012556162145695993
2015-03-01,77393.5853,11.256659178882327,2.2522,3.5906,12.4875,6.81,105.515,-0.0032416718157017854
2015-04-01,78056.0347,11.265182241340316,2.2256,3.1222,13.1702,6.6,105.2732,-0.0022942470789244496
2015-05-01,80737.93591,11.298963829428182,2.2551,3.168,12.5486,6.71,105.0259,-0.002351889418381603
2015-06-01,83772.4007,11.335858884968086,2.2457,3.1317,13.5785,7.1,104.8599,-0.0015818129155267258
2015-07-01,85400.13257,11.355102932117378,2.2049,3.123,12.5498,7.44,105.4755,0.005853524967547763
2015-08-01,85891.00635,11.360834403422333,2.2249,3.1206,12.0491,7.33,105.5783,0.0009741592724665793
2015-09-01,82341.99852000001,11.318636566586305,2.209,3.082,9.6131,7.18,105.3072,-0.0025710648606880326
2015-10-01,80914.88647,11.301153096872698,2.1375,2.9292,9.0315,6.87,105.1649,-0.00135219843088219
2015-11-01,76377.91235,11.243448827989107,2.1443,2.6869,8.9118,6.59,104.4871,-0.006465975631056331
2015-12-01,75923.12168,11.237476550457455,2.1489,2.6208,8.7522,6.42,104.0452,-0.0042381987007527044
2016-01-01,76247.52934,11.241740291846337,2.1108,3.0580000000000003,7.8728,6.41,104.5495,0.004835223354363372
2016-02-01,74291.48547,11.215751627503892,2.1014,2.7345,6.9223,6.38,104.3717,-0.0017020775577094582
2016-03-01,76220.4811,11.241385486399533,2.1644,2.2565,6.8828,6.47,103.3557,-0.00978212890301755
2016-04-01,75805.42483999999,11.235925136879636,2.1479,2.4356,,6.39,103.8246,0.004526499871032819
